show_id,category,title,director,cast,country,rating,duration,type,year,duration_num,duration_type,
s1,TV Show,3%,Unknown,"Joo Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zez Motta, Celso Frateschi",brazil,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2020,4,Seasons,
s2,Movie,07:19,Jorge Michel Grau,"Demin Bichir, Hctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",mexico,TV-MA,93 min,"Dramas, International Movies",2016,93,min,
s3,Movie,23:59,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",singapore,R,78 min,"Horror Movies, International Movies",2018,78,min,
s4,Movie,9,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",united states,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",2017,80,min,
s5,Movie,21,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",united states,PG-13,123 min,Dramas,2020,123,min,
s6,TV Show,46,Serdar Akar,"Erdal Beikiolu, Yasemin Allen, Melis Birkan, Saygn Soysal, Berkan al, Metin Belgin, Aya Eren, Selin Uludoan, zay Fecht, Suna Yldzolu",turkey,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",2017,1,Season,
s7,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",egypt,TV-MA,95 min,"Horror Movies, International Movies",2020,95,min,
s8,Movie,187,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",united states,R,119 min,Dramas,2019,119,min,
s9,Movie,706,Shravan Kumar,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",india,TV-14,118 min,"Horror Movies, International Movies",2019,118,min,
s10,Movie,1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",india,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",2017,143,min,
